Page, Total Adds
page_1, 32
ID, Title, Price, ProductionYear, Mileage, Power, Fuel, Link
6089633125,Mercedes-Benz ACTROS 1848 Giga-Space,99 900 EUR,2018,120 000 km,12 000 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1848-giga-space-ID6E7tL7.html
6096989870,Mercedes-Benz ACTROS 1845 LSnRL / BIG SPACE / LOW DECK / MEGA,325 000 PLN,2018,323 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-lsnrl-big-space-low-deck-mega-i-rej-03-2020-na-gwarancji-do-06-03-2023-mozliwosc-finansowania-ID6EClAi.html

Page, Total Adds
page_4, 32
ID, Title, Price, ProductionYear, Mileage, Power, Fuel, Link
6099084916,Mercedes-Benz Actros ADR BEZ Przebiegu ! Waga 7000 kg,299 000 PLN,2016,42 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-adr-bez-przebiegu-waga-7000-kg-bez-przebiegu-waga-7000-kg-ID6EL8Bm.html
6099395344,Mercedes-Benz Antos/ Actros/ Axor/ 1835/,159 500 PLN,2015,215 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-antos-actros-axor-1835-sprowadzony-z-niemiec-jak-nowy-ID6EMrmg.html
6099797718,Mercedes-Benz ACTROS,99 000 PLN,2014,884 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mercedes-actros-pierwsza-rejestracja-08-2015-pierwszy-wlasciciel-ID6EO82a.html
6094136419,Mercedes-Benz Actros 1851,100 000 EUR,2022,1 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1851-mercedes-benz-actros-5-1851-2022r-ID6EqngT.html
6097489827,Mercedes-Benz ACTROS 1845LS,250 000 PLN,2017,512 000 km,12 800 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845ls-ID6EErE7.html
6099793978,Mercedes-Benz 1845 LS standard bez retardera,47 000 EUR,2017,520 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-1845-ls-standard-bez-retardera-bigspace-1845-ls-7-2017-520tkm-bez-retardera-po-serwisie-ID6EO73Q.html
6099793039,Mercedes-Benz ACTROS,100 000 PLN,2014,1 041 072 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-ID6EO6OH.html
6097162421,Mercedes-Benz ACTROS 1845 MEGA,92 000 PLN,2014,946 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-mega-mercedes-actros-1845-mega-pierwszy-wlasciciel-ID6ED4tn.html
6099584365,Mercedes-Benz ACTROS 1845 EURO 6 BIGSPACE  RETARDER STANDARD SALON POLSKA JAK NOWY !!!!,269 000 PLN,2018,490 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-euro-6-bigspace-retarder-standard-salon-polska-jak-nowy-acc-aktywny-tempomat-ID6ENevZ.html
6099583999,Mercedes-Benz Actros 1845 Bigspace Lowdeck,58 500 EUR,2018,393 251 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-bigspace-lowdeck-ID6ENer5.html
6099583920,Mercedes-Benz Actros 1845 Bigspace Lowdeck,58 900 EUR,2018,348 322 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-bigspace-lowdeck-ID6ENepO.html
6098896887,Mercedes-Benz Actros 1840,26 500 EUR,2014,56 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1840-mercedes-actros-1840-adr-rezerwacja-ID6EKlGD.html
6099074807,Mercedes-Benz Actros 1840,95 000 PLN,2014,780 000 km,10 677 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1840-mercedes-actros-ID6EL5Yj.html
6099377058,Mercedes-Benz Actros,43 500 EUR,2016,830 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-ls-standard-bigspace-salon-pl-bez-retardera-bezwypadek-ID6EMmBk.html
6096754947,Mercedes-Benz ACTROS,111 900 PLN,2014,429 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-zakupiony-w-polskim-salonie-modelowy-2015-hydraulika-ID6EBmtd.html
